2022-06-08 11:12:39,482 INFO  [main] com.stronans.weather.Application : Starting Application on Eshnunna with PID 7544 (D:\Programming\Projects\Java\WeatherClock\build\classes\java\main started by S.King in D:\Programming\Projects\Java\WeatherClock)
2022-06-08 11:12:39,498 INFO  [main] com.stronans.weather.Application : No active profile set, falling back to default profiles: default
2022-06-08 11:12:40,373 INFO  [main] org.ehcache.core.EhcacheManager : Cache 'weatherDataCache' created in EhcacheManager.
2022-06-08 11:12:40,732 INFO  [main] org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler : Initializing ExecutorService 'taskScheduler'
2022-06-08 11:12:41,623 INFO  [main] org.springframework.boot.web.embedded.netty.NettyWebServer : Netty started on port(s): 24000
2022-06-08 11:12:41,638 INFO  [main] com.stronans.weather.Application : Started Application in 2.537 seconds (JVM running for 5.278)
2022-06-08 11:12:42,185 INFO  [scheduling-1] reactor.Mono.FlatMap.1 : | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
2022-06-08 11:12:42,185 INFO  [scheduling-1] reactor.Mono.FlatMap.1 : | request(unbounded)
